film_page,name,category,content,img
http://fast-torrents.co/6084-bladshot-2020.html,Бладшот (2020),"Фильмы 2020,Боевики 2019,Фaнтастика 2019,Драмы 2019","Корпорация RST возвращает к жизни недавно убитого солдата Рэя Гаррисона. Армия нанороботов в его крови превратила Рэя в бессмертного Бладшота, наделенного сверхчеловеческой силой и способностью",http://fast-torrents.co/uploads/posts/2020-03/158375280511.jpg
http://fast-torrents.co/6067-chelovek-nevidimka-2020.html,Человек-невидимка (2020),"Фильмы 2020,Триллеры 2019,Детективы 2019,Ужасы 2019","На первый взгляд жизнь Сесилии кажется безупречной: огромный дом, бойфренд - гениальный ученый-миллионер. Но никто не знает, что на самом деле происходит за высокими стенами роскошного особняка... И",http://fast-torrents.co/uploads/posts/2020-03/158356800611.jpg
http://fast-torrents.co/5796-zov-predkov-2020.html,Зов Предков (2020),"Фильмы,Фильмы 2020,Детские фильмы 2019,Фильмы приключения 2019,Драмы 2019","История Бэка, дружелюбного пса, чья размеренная домашняя жизнь перевернулась с ног на голову во времена золотой лихорадки в 1880-х, когда его вырвали из дома в Калифорнии и перевезли в дикую и",http://fast-torrents.co/uploads/posts/2020-02/medium/158136870111.jpg
http://fast-torrents.co/5855-sonik-v-kino-2020.html,Соник в кино (2020),"Фильмы 2020,Комедии 2019,Боевики 2019,Детские фильмы 2019,Фильмы приключения 2019","Отвязный ярко-синий ежик Соник вместе с новообретенным - человеческим - лучшим другом Томом Вачовски он знакомится со сложностями жизни на Земле и противостоит злодейскому доктору Роботнику, который",http://fast-torrents.co/uploads/posts/2020-02/158188290311.jpg
http://fast-torrents.co/5774-hischnye-pticy-potryasayuschaya-istoriya-harli-kvinn-2020.html,Хищные птицы: Потрясающая история Харли Квинн (2020),"Фильмы 2020,Комедии 2019,Боевики 2019,Криминальные фильмы 2019","Группа супергероинь противостоит главе преступного мира Готэма, бизнесмену Роману Сайонису.",http://fast-torrents.co/uploads/posts/2020-02/158124900411.jpg
http://fast-torrents.co/6223-salat-iz-kapusty-2019.html,Салат из капусты (2019),"Фильмы 2019,Комедии 2019,Криминальные фильмы 2019","После смерти матери, Присцилла понимает, что должна заменить её для своей младшей сестры Мэрибелл и продолжить вести семейный бизнес. И когда та случайно убивает человека, Присцилла решает помочь ей",http://fast-torrents.co/uploads/posts/2020-03/158491890311.jpg
http://fast-torrents.co/6222-intrizhka-2020.html,Интрижка (2020),"Фильмы 2020,Драмы 2019,Комедии 2019","Бэйли и Дарла становятся участниками бессмысленной и некорректной терапии. Они должны проехать через США, чтобы воспроизвести бурную половую жизнь сексуально зависимой Дарлы. Когда становятся ясными",http://fast-torrents.co/uploads/posts/2020-03/158491470611.jpg
http://fast-torrents.co/6221-chelovecheskiy-kapital-2019.html,Человеческий капитал (2019),"Фильмы 2019,Драмы 2019,Криминальные фильмы 2019",Дружба детей из семей разных социальных слоёв приводит к трагедии.,http://fast-torrents.co/uploads/posts/2020-03/158491470211.jpg
http://fast-torrents.co/6220-pod-dozhdem-2020.html,Под дождем (2020),"Фильмы 2020,Драмы 2019,Комедии 2019,Мелодрамы 2019","Студента с биполярным расстройством личности отчисляют из колледжа, после чего он, будучи в отчаянии, идёт развлечься в стриптиз-клуб, где знакомится с умной и эпатажной девушкой. Дабы сблизиться с",http://fast-torrents.co/uploads/posts/2020-03/158491350611.jpg
http://fast-torrents.co/6219-interneshnl-folls-2019.html,Интернешнл-Фоллс (2019),"Фильмы 2019,Комедии 2019","Жительница маленького заснеженного городка у канадской границы мечтает заняться стендапом после того, как знакомится с выдохшимся комиком-неудачником, который ненавидит стендап и хочет заняться",http://fast-torrents.co/uploads/posts/2020-03/158491350111.jpg
